AU011858,            ONE,     00,
18581211, 0600,  , TD, 7.8S, 93.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581211, 1200,  , TD, 8.0S, 93.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581211, 1800,  , TD, 8.4S, 93.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581212, 0000,  , TD, 8.8S, 92.9E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581212, 0600,  , TD, 9.6S, 92.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581212, 1200,  , TD, 10.7S, 92.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581212, 1800,  , TD, 11.9S, 91.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581213, 0000,  , TD, 13.1S, 90.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581213, 0600,  , TD, 14.1S, 90.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581213, 1200,  , TD, 14.8S, 90.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581213, 1800,  , TD, 15.2S, 89.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581214, 0000,  , TD, 15.4S, 89.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18581214, 0600,  , TD, 15.5S, 89.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011859,            ONE,     00,
18591201, 0600,  , TD, 4.6S, 90.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591201, 1200,  , TD, 4.6S, 90.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591201, 1800,  , TD, 4.7S, 90.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591202, 0000,  , TD, 5.0S, 90.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591202, 0600,  , TD, 5.5S, 89.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591202, 1200,  , TD, 6.3S, 89.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591202, 1800,  , TD, 7.4S, 88.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591203, 0000,  , TD, 8.6S, 87.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591203, 0600,  , TD, 9.9S, 86.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591203, 1200,  , TD, 11.3S, 86.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591203, 1800,  , TD, 12.7S, 85.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591204, 0000,  , TD, 14.1S, 84.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591204, 0600,  , TD, 15.4S, 84.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591204, 1200,  , TD, 16.4S, 84.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591204, 1800,  , TD, 17.2S, 84.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591205, 0000,  , TD, 17.9S, 84.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591205, 0600,  , TD, 18.6S, 85.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591205, 1200,  , TD, 19.4S, 85.3E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591205, 1800,  , TD, 20.1S, 85.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591206, 0000,  , TD, 20.7S, 86.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591206, 0600,  , TD, 21.3S, 86.5E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591206, 1200,  , TD, 21.8S, 86.8E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591206, 1800,  , TD, 22.1S, 87.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591207, 0000,  , TD, 22.4S, 87.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18591207, 0600,  , TD, 22.7S, 87.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AU011860,            ONE,     00,
18600221, 0600,  , TD, 12.0S, 105.0E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600221, 1200,  , TD, 12.0S, 104.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600221, 1800,  , TD, 12.0S, 104.2E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600222, 0000,  , TD, 12.1S, 103.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600222, 0600,  , TD, 12.4S, 103.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600222, 1200,  , TD, 12.9S, 102.4E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600222, 1800,  , TD, 13.5S, 101.7E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600223, 0000,  , TD, 14.2S, 101.1E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600223, 0600,  , TD, 14.8S, 100.6E,  25, -999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
